episode_id,symbol,settlement_currency,side,start_time,start_price,start_qty,start_home_notional,start_foreign_notional,direct_reversal_entry,entry_after_flat_min,end_time,end_price,closed,settlement_closed,fill_count,discretionary_fill_count,add_count,reduce_count,winning_add_count,losing_add_count,flat_add_count,favorable_reduce_count,adverse_reduce_count,flat_reduce_count,maker_fill_count,taker_fill_count,unknown_liquidity_fill_count,maker_add_count,taker_add_count,max_abs_position,max_home_notional_proxy,max_foreign_notional_proxy,gross_realised_pnl_native,exec_comm_native,realised_minus_comm_proxy_native,first_order_type,first_time_in_force,first_exec_inst,reversal_from_episode_id,previous_episode_outcome,previous_episode_pnl_native,duration_min,directional_price_move,episode_outcome,maker_share,winning_add_share
XBTUSD-000044,XBTUSD,XBt,LONG,2020-07-29T17:36:55.816000+00:00,11212.5,3666.0,0.32697054,3666.0,False,20.26265,2020-08-01T07:23:13.111000+00:00,11627.5,True,False,30,30,22,7,5,16,1,4,3,0,18,12,0,17,5,54990.0,6.975188220000001,76986.0,0.0,388125.0,-388125.0,Limit,GoodTillCancel,nan,,FLAT,0.0,3706.28825,0.03701226309921957,FLAT,0.6,0.22727272727272727
XBTUSD-000045,XBTUSD,XBt,LONG,2020-08-02T04:39:08.114000+00:00,10947.0,3666.0,0.3348891,3666.0,False,1275.9167166666666,2020-08-03T16:56:22.981000+00:00,11373.5,True,False,50,50,31,18,17,14,0,18,0,0,33,17,0,27,4,85186.0,12.532700069999999,137250.0,0.0,598433.0,-598433.0,Limit,GoodTillCancel,nan,,FLAT,0.0,2177.2477833333332,0.03896044578423319,FLAT,0.66,0.5483870967741935
XBTUSD-000046,XBTUSD,XBt,LONG,2020-08-03T21:59:23.805000+00:00,11166.0,5533.0,0.49553548,5533.0,False,303.01373333333333,2020-08-05T13:31:17.498000+00:00,11613.5,True,False,10,10,5,4,0,5,0,3,1,0,6,4,0,5,0,22132.0,2.9975580799999997,33198.0,0.0,128885.0,-128885.0,Limit,GoodTillCancel,nan,,FLAT,0.0,2371.8948833333334,0.04007701952355358,FLAT,0.6,0.0
XBTUSD-000047,XBTUSD,XBt,SHORT,2020-08-07T09:30:32.273000+00:00,11825.5,22222.0,1.87909232,22222.0,False,2639.2462499999997,2020-08-07T14:39:19.943000+00:00,11600.5,True,False,4,4,1,2,1,0,0,2,0,0,0,4,0,0,1,27777.0,2.34915642,27777.0,0.0,320186.0,-320186.0,Limit,GoodTillCancel,nan,,FLAT,0.0,308.79449999999997,0.019026679632996535,FLAT,0.0,1.0
XBTUSD-000048,XBTUSD,XBt,LONG,2020-08-07T17:32:49.387000+00:00,11481.5,5555.0,0.4838405,5555.0,False,173.49073333333334,2020-08-07T20:22:11.941000+00:00,11567.0,True,False,34,34,6,27,0,6,0,27,0,0,7,27,0,6,0,38841.0,3.40267334,38841.0,0.0,150817.0,-150817.0,Limit,GoodTillCancel,nan,,FLAT,0.0,169.3759,0.007446762182641731,FLAT,0.20588235294117646,0.0
XBTUSD-000049,XBTUSD,XBt,SHORT,2020-08-07T22:22:53.037000+00:00,11623.5,154.0,0.01324862,154.0,False,120.68493333333332,2020-08-08T16:29:12.767000+00:00,11641.0,True,False,39,39,18,20,1,14,3,17,3,0,24,15,0,7,11,103552.0,8.844188789999999,103552.0,0.0,534329.656316297,-534329.656316297,Limit,GoodTillCancel,nan,,FLAT,0.0,1086.3288333333335,-0.001505570611261664,FLAT,0.6153846153846154,0.05555555555555555
XBTUSD-000050,XBTUSD,XBt,LONG,2020-08-08T16:29:12.767000+00:00,11641.0,14223.0,1.2217557000000001,14223.0,True,0.0,2020-08-09T05:41:08.223000+00:00,11686.0,True,False,9,9,1,7,0,1,0,7,0,0,2,7,0,1,0,29778.0,2.5594857,29778.0,0.0,114405.34368370299,-114405.34368370299,Limit,GoodTillCancel,nan,XBTUSD-000049,FLAT,0.0,791.9242666666667,0.003865647281161344,FLAT,0.2222222222222222,0.0
XBTUSD-000051,XBTUSD,XBt,SHORT,2020-08-09T12:45:25.669000+00:00,11643.0,5333.0,0.45805137,5333.0,False,424.2907666666667,2020-08-09T22:30:45.604000+00:00,11696.0,True,False,63,63,22,40,17,1,4,0,40,0,0,63,0,0,22,47997.0,4.12582212,47997.0,0.0,555464.0,-555464.0,Market,ImmediateOrCancel,nan,,FLAT,0.0,585.3322499999999,-0.004552091385381818,FLAT,0.0,0.7727272727272727
XBTUSD-000052,XBTUSD,XBt,LONG,2020-08-09T22:31:03.411000+00:00,11697.0,15333.0,1.31081817,15333.0,False,0.2967833333333333,2020-08-10T14:37:02.277000+00:00,11957.5,True,False,48,48,35,12,8,27,0,5,7,0,31,17,0,31,4,218429.0,18.701934249999997,218429.0,0.0,1104223.0,-1104223.0,Market,ImmediateOrCancel,nan,,FLAT,0.0,965.9811000000001,0.0222706676925708,FLAT,0.6458333333333334,0.22857142857142856
XBTUSD-000053,XBTUSD,XBt,SHORT,2020-08-11T06:34:34.625000+00:00,11736.0,34689.0,2.95584969,34689.0,False,957.5391333333333,2020-08-12T03:22:14.782000+00:00,11301.5,True,False,29,29,5,23,2,0,3,23,0,0,19,10,0,0,5,166665.0,14.206524599999998,166665.0,0.0,1070591.6257425742,-1070591.6257425742,Market,ImmediateOrCancel,nan,,FLAT,0.0,1247.6692833333334,0.03702283571915477,FLAT,0.6551724137931034,0.4
XBTUSD-000054,XBTUSD,XBt,LONG,2020-08-12T03:22:14.782000+00:00,11301.5,2259.0,0.19987632,2259.0,True,0.0,2020-08-12T18:04:19.199000+00:00,11530.0,True,False,4,4,2,1,1,1,0,1,0,0,1,3,0,1,1,16347.0,1.45284765,16347.0,0.0,124564.37425742575,-124564.37425742575,Market,ImmediateOrCancel,nan,XBTUSD-000053,FLAT,0.0,882.0736166666667,0.020218555059063004,FLAT,0.25,0.5
XBTUSD-000055,XBTUSD,XBt,LONG,2020-08-13T08:27:59.919000+00:00,11467.5,5555.0,0.484396,5555.0,False,863.6786666666667,2020-08-14T14:16:12.350000+00:00,11676.5,True,False,25,25,9,15,2,7,0,15,0,0,9,16,0,8,1,55550.0,4.8622914999999995,55550.0,0.0,254649.0,-254649.0,Limit,GoodTillCancel,nan,,FLAT,0.0,1788.2071833333332,0.018225419664268605,FLAT,0.36,0.2222222222222222
XBTUSD-000056,XBTUSD,XBt,LONG,2020-08-14T16:28:11.305000+00:00,11859.5,5555.0,0.4683976,5555.0,False,131.98258333333334,2020-08-15T08:43:00.796000+00:00,11865.0,True,False,25,25,18,6,7,11,0,6,0,0,11,14,0,11,7,49995.0,4.237965050000001,49995.0,0.0,315654.0,-315654.0,Market,ImmediateOrCancel,nan,,FLAT,0.0,974.8248500000001,0.0004637632277919579,FLAT,0.44,0.3888888888888889
XBTUSD-000057,XBTUSD,XBt,LONG,2020-08-15T12:22:23.180000+00:00,11696.5,5555.0,0.4749525,5555.0,False,219.37306666666666,2020-08-17T04:28:06.081000+00:00,11837.0,True,False,16,16,14,1,14,0,0,0,1,0,1,15,0,0,14,32220.0,2.7187566,32220.0,0.0,324495.0,-324495.0,Limit,GoodTillCancel,nan,,FLAT,0.0,2405.715016666667,0.012012140383875547,FLAT,0.0625,1.0
