policy_id,family,lookback,range_minutes,shock_z,gap_bps,volume_z,response_max,target_close_fraction,stop_window,stop_buffer_atr,m18_trades,m18_total_return,m18_geometric_daily_growth,m18_max_drawdown,m18_profit_factor,m18_win_rate,m18_median_trade,m18_h1_return,m18_h2_return,m18_q1_return,m18_q2_return,m18_q3_return,m18_q4_return,m18_positive_quarters,m18_top10_removed_return,m18_top5_positive_share,m18_terminal_exits,m18_bankrupt,m18_max_required_leverage,m18_final_nav,m18_calendar_days
7ece37014ade62c5,CONTINUATION,5,60,3.0,30.0,1.0,0.5,0.5,30,0.1,1,0.000981220353251766,2.686960517417347e-06,0.0,Infinity,1.0,0.000981220353251671,0.000981220353251766,0.0,0.000981220353251766,0.0,0.0,0.0,1,0.0,1.0,0,False,0.7365345076008942,10009.812203532518,365
d35299fd12fcdb1b,CONTINUATION,5,60,3.0,60.0,0.0,0.25,0.5,30,0.1,1,-0.001458159090703015,-3.997863896931797e-06,0.001458159090702975,0.0,0.0,-0.0014581590907029704,-0.001458159090703015,0.0,0.0,-0.001458159090703015,0.0,0.0,0,-0.001458159090703015,,0,False,0.5077150554703879,9985.41840909297,365
dd5d310dbbefd1e3,CONTINUATION,5,60,3.0,60.0,0.0,0.5,0.5,30,0.1,1,-0.001458159090703015,-3.997863896931797e-06,0.001458159090702975,0.0,0.0,-0.0014581590907029704,-0.001458159090703015,0.0,0.0,-0.001458159090703015,0.0,0.0,0,-0.001458159090703015,,0,False,0.5077150554703879,9985.41840909297,365
fe8c9d9ffb052bae,CONTINUATION,5,60,3.0,60.0,1.0,0.25,0.5,30,0.1,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,False,0.0,10000.0,365
8a441e14308dd9e7,CONTINUATION,5,60,3.0,60.0,1.0,0.5,0.5,30,0.1,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,False,0.0,10000.0,365
7975f277596dd35f,CONTINUATION,5,240,2.0,30.0,0.0,0.25,0.5,30,0.1,3,-0.004778361387364427,-1.3122692676614811e-05,0.004778361387364202,0.0,0.0,-0.0006042344566478544,-0.004778361387364427,0.0,-0.004556810630414909,-0.00022256494324879306,0.0,0.0,0,-0.004778361387364427,,0,False,1.2972412564189895,9952.216386126356,365
ab2a315fbd32c7f9,CONTINUATION,5,240,2.0,30.0,0.0,0.5,0.5,30,0.1,27,-0.03649157120400848,-0.00010184150712833073,0.038773826995224046,0.17417728301148164,0.14814814814814814,-0.0015419231666863656,-0.018072519651965102,-0.01875805690407506,-0.008459169850822401,-0.009695364536522755,-0.00886743352262509,-0.009979112498142095,0,-0.043490553462851134,1.0,0,False,2.1990150382551596,9635.084287959915,365
86e89730c24000e3,CONTINUATION,5,240,2.0,30.0,1.0,0.25,0.5,30,0.1,2,-0.004556810630414798,-1.251286565906451e-05,0.004556810630414839,0.0,0.0,-0.002279600178543434,-0.004556810630414909,0.0,-0.004556810630414909,0.0,0.0,0.0,0,-0.004556810630414909,,0,False,1.2972412564189895,9954.431893695852,365
4a90ab260a5da53c,CONTINUATION,5,240,2.0,30.0,1.0,0.5,0.5,30,0.1,12,-0.009216012567083265,-2.536609676306867e-05,0.014119396429590274,0.45902987292945346,0.3333333333333333,-0.0011653420508593029,-0.009918361276243792,0.000709384642326949,-0.003522613193224333,-0.006418357473735203,-0.0032085966095808383,0.00393059293908582,1,-0.015448010638497989,1.0,0,False,2.1990150382551596,9907.839874329167,365
b1d14546da048838,CONTINUATION,5,240,2.0,60.0,0.0,0.25,0.5,30,0.1,2,-0.0008266649184890396,-2.2657694724870225e-06,0.0008266649184890412,0.0,0.0,-0.0004133996999483123,-0.0008266649184890396,0.0,-0.000604234456647812,-0.00022256494324879306,0.0,0.0,0,-0.0008266649184890396,,0,False,0.4348345634570178,9991.73335081511,365
1201664b974155a3,CONTINUATION,5,240,2.0,60.0,0.0,0.5,0.5,30,0.1,5,-0.007295782224297054,-2.0061515487279635e-05,0.007295782224297,0.0,0.0,-0.0017997307179208524,-0.0035571412645576395,-0.0037519873086189204,-0.0033353186463140894,-0.00022256494324879306,0.0,-0.0037519873086189204,0,-0.007295782224297054,,0,False,1.256700572653802,9927.04217775703,365
adfae716af5f03c6,CONTINUATION,5,240,2.0,60.0,1.0,0.25,0.5,30,0.1,1,-0.000604234456647812,-1.6559358340106911e-06,0.0006042344566478278,0.0,0.0,-0.0006042344566478544,-0.000604234456647812,0.0,-0.000604234456647812,0.0,0.0,0.0,0,-0.000604234456647812,,0,False,0.33568580924880803,9993.957655433522,365
