exchange,data_type,date,symbol,url,bytes,sha256
bybit,quotes,2023-05-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/05/01/BTCUSDT.csv.gz,17423069,a4253c448c04910508e9b69cb17aea495240067474b76cee12040fdcf6c85339
bybit,derivative_ticker,2023-05-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/05/01/BTCUSDT.csv.gz,2041012,0e4c19776a8c23927a0af685b69214d5b953bf4b59f2babe701db1df0ae80076
bybit,trades,2023-05-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/05/01/ETHUSDT.csv.gz,15566784,42a4b1aa5fca2e510c18b57b19098989e9ca1fdac5bb08b4f48dae66726f30db
bybit,quotes,2023-05-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/05/01/ETHUSDT.csv.gz,10897793,df5269c650c6864680bb5f2208dc7f20bf3c69fa9bcd264412d230938256aec5
bybit,derivative_ticker,2023-05-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/05/01/ETHUSDT.csv.gz,1241138,00d543cc3a097c4e44f02b4b143a5cd4f88926f1f88e673f530d8df87ad4bb3a
bybit,trades,2023-07-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/07/01/BTCUSDT.csv.gz,7480525,0707925b9320626560a5aa2ce89c78666b27266c92626fc6a6ff5236a0d5b301
bybit,quotes,2023-07-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/07/01/BTCUSDT.csv.gz,11551562,3a1332fc74e150c9ac5703b3f88fbd176d8e67057414ba1cee691b410a0b5dae
bybit,derivative_ticker,2023-07-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/07/01/BTCUSDT.csv.gz,866959,d5e6615836667b6b9aabe3c5f5f1595499811c76afd02c0e01ba63af2e05fe85
bybit,trades,2023-07-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/07/01/ETHUSDT.csv.gz,5643618,da0513a2ea5fb9f2acd41519aa5f62689700fbe5da8c08597dcb747eb2241c45
bybit,quotes,2023-07-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/07/01/ETHUSDT.csv.gz,8638018,719dc1fa10f1aa809556382ca43af9cf0bcc87b613e448234fa44c4d048415b3
bybit,derivative_ticker,2023-07-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/07/01/ETHUSDT.csv.gz,811615,575a5d2be156d64557f7798d5762de6238f7884489b2f05f28aff89f1f305b01
bybit,trades,2023-09-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/09/01/BTCUSDT.csv.gz,21251159,d07925b98815706f0af646b868de85922bfab0120ecdc81cc69edec74628d506
bybit,quotes,2023-09-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/09/01/BTCUSDT.csv.gz,14367642,38128d215e0b98651fffb0e06bafd83358e8857d66c42c7fb0902d201935478f
bybit,derivative_ticker,2023-09-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/09/01/BTCUSDT.csv.gz,1346790,9adb0a6215b7308588e18327568eabed0e581304fd2f3ced4702771de66f43ee
bybit,trades,2023-09-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/09/01/ETHUSDT.csv.gz,8041330,175041cf8eaa39082d2100157089bccb8bdb9fbfb6f32661e09df5180e823d9e
bybit,quotes,2023-09-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/09/01/ETHUSDT.csv.gz,8397045,a41cfbd27b808ffb8cd19bcd8ab6b81236e912c54eef978d9d86dee8541ab282
bybit,derivative_ticker,2023-09-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/09/01/ETHUSDT.csv.gz,913055,4c581727240c4cfabc59d305200fbb0640df968d579b0e20bbe9dbd3442efab9
bybit,trades,2023-11-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/11/01/BTCUSDT.csv.gz,42558886,be44a242cbe1b58415cf97e393282ba840d76fecfa20b6bb0d9339be5423ccfa
bybit,quotes,2023-11-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/11/01/BTCUSDT.csv.gz,17911483,d8d5b8fe841b752682c3eae9fbf184deb579b990d85e248719d6efe2b97f6161
bybit,derivative_ticker,2023-11-01,BTCUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/11/01/BTCUSDT.csv.gz,1947248,49032a0cba46b51300f9f050bffc0eade621fa047fe79d1b91bf2170df5cd394
bybit,trades,2023-11-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/trades/2023/11/01/ETHUSDT.csv.gz,21244298,007f5342ddf64f6bca755f6ec29a295aabac60135dd8fc6427e768377b2002f7
bybit,quotes,2023-11-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/quotes/2023/11/01/ETHUSDT.csv.gz,14394127,ba9d5054a1c60018beed5e4b9389200716c6a15bc3ff606e3196294bcbce6f13
bybit,derivative_ticker,2023-11-01,ETHUSDT,https://datasets.tardis.dev/v1/bybit/derivative_ticker/2023/11/01/ETHUSDT.csv.gz,1471084,532dfa8002842ba3b66893c2f042d1f95f758642220872ff23cc55eef3b8fe7f
